"filename", "language", "YAML", "Swift", "Dart", "JSON", "XML", "Markdown", "CMake", "HTML", "C++", "Groovy", "Properties", "comment", "blank", "total"
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 1, 12
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 5, 31
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\assets\legal\disclaimer_v1.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\l10n.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\app\app.dart", "Dart", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 271
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\app\main.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 47, 27, 214
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\environment.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\firebase_options.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 87
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\error\api_exception.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\monitoring\feedback_service.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 74
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\monitoring\monitoring_providers.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\api_service.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 80
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\auth\auth_service.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\auth\firebase_auth_service.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\auth\auth_providers.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\avatar\avatar_provider.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\di\providers.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\event_map_state\events_providers.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 60
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\event_map_state\location_provider.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 38
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\legal\disclaimer_providers.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 46
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\settings\settings_providers.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 51, 24, 132
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\auth\domain\auth_repository.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\auth\presentation\login_page.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 91
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\data\group_message.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\data\group_participant.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\group_chat_page.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 119
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\widgets\group_chat_app_bar.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 101
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\widgets\group_chat_message_composer.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\widgets\group_chat_message_list.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\widgets\group_message_tile.dart", "Dart", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 192
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\group_chat\presentation\widgets\group_participant_avatar.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\data\user_event.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\user_events_page.dart", "Dart", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 250
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_event_grid_card.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_event_list_tile.dart", "Dart", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 161
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_event_tab_chip.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_events_favorites_grid.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_events_registered_list.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\chat\user_event\prestantion\widgets\user_events_tab_bar.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_data.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_filter.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_test.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 101
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\detail\events_detail_page.dart", "Dart", 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 416
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\list\events_list_page.dart", "Dart", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 168
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\dialogs\create_event_dialog.dart", "Dart", 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 290
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\events_map_page.dart", "Dart", 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 326
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\sheets\event_bottom_sheet.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 182
