"filename", "language", "C++", "JSON", "Markdown", "CMake", "YAML", "Dart", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\environment.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 5, 14
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\config\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 7, 87
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\error\api_exception.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\api_service.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 9, 80
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\api_service_test.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 6, 114
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\auth\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\network\auth\firebase_auth_service.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\auth\auth_providers.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 6, 27
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\avatar_provider.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\di\providers.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
